BOOK I	FYRRI ÞÁTTUR
CHAPTER I A FETE AT THE NEW PALACE	I. Veizlan í nýju höllinni.
"Yes, sire, since yesterday."	»Já, herra. Var höggvinn í gær.«
These words were exchanged about two hours after midnight, at the moment when the fete given at the New Palace was at the height of its splendor.	Það var tveimur stundum eftir miðnætti að þessi orð voru töluð, einmitt þegar sem hæst stóð gleðin og glaumurinn í nýju höllinni, sem vígð var með veizlu þessari.
Two or three of these astute politicians-physiognomists by virtue of their profession-failed not to detect on the countenance of their host symptoms of disquietude, the source of which eluded their penetration;	Tveir eða þrír af þessum erlendu, skarpskygnu, stjórnfræðingum þóttust greinilega merkja ókyrleik á svip hans, en hvað olli því, var nokkuð, sem þeir ekki gátu gruflað upp og enginn leyfði sér að spyrja hann hvað áhyggjuefnið væri.
but none ventured to interrogate him on the subject.	Það var greinilega ætlun hans, að áhyggjur hans á engan hátt köstuðu skugga á gleðina.
It was evidently the intention of the officer of chasseurs that his own anxieties should in no way cast a shade over the festivities; and, as he was a personage whom almost the population of a world in itself was wont to obey, the gayety of the ball was not for a moment checked.	Og þar sem hann var einn af heim fáu mönnum, sem margmenni, nærri nóg til að byggja heilan heim út af fyrir sig, var vant við að hlýða, var gleðin ekki takmörkuð hið allra minnsta.
Nevertheless, General Kissoff waited until the officer to whom he had just communicated the dispatch forwarded from Tomsk should give him permission to withdraw; but the latter still remained silent.	Kissoff hershöfðingi hafði komið með annað skeyti frá Tomsk, hafði fengið það öðrum hershöfðingja og beið svo eftir vísbendingu frá honum, að hann mætti fara.
He had taken the telegram, he had read it carefully, and his visage became even more clouded than before.	Þessi þegjandalegi stóri maður tók við skeytinu án þess að mæla orð, braut það upp og las.
Involuntarily he sought the hilt of his sword, and then passed his hand for an instant before his eyes, as though, dazzled by the brilliancy of the light, he wished to shade them, the better to see into the recesses of his own mind.	Ósjálfrátt greip hægri hönd hans um sverðshjöltun, en svo lyfti hann henni upp og strauk henni um ennið, og að lyktum, eitt einasta augnablik, brá hann henni eins og skygni fyrir augun, eins og vildi hann útilykja glóandi ljósstraumana, svo að hann þeim mun betur sæi inní sitt eigið hugskot.
"We are, then," he continued, after having drawn General Kissoff aside towards a window, "since yesterday without intelligence from the Grand Duke?"	»Svo það hafa engar fregnir komið frá stórhertoganum síðan í gær,« sagði hann spyrjandi, eftir að hafa gengið til Kissoffs og farið með hann út að einum glugganum.
"Without any, sire; and it is to be feared that in a short time dispatches will no longer cross the Siberian frontier."	»Nei, herra,« svaraði Kissoff, »og það er hætta á að innan skamms verði fréttaþráðurinn högginn alt að Vesturtakmörkum Síberíu.«
"But have not the troops of the provinces of Amoor and Irkutsk, as those also of the Trans-Balkan territory, received orders to march immediately upon Irkutsk?"	»Hafa ekki herflokkarnir í héruðum Amoor og Irkutsk og einnig þeir í Trans-Balkan-héruðunum fengið skipun um að fara tafarlaust til Irkutsk?«
"Yes, sire; our dispatches have reached them, and we are assured at the present moment that the Tartars have not advanced beyond the Irtish and the Obi."	Skeyti vor hafa enn komist til skila og erum vér fullvissir um, að enn þá hafi Tartararnir ekki náð sér niðri fyrir handan árnar Irtish eða Obi.«
"And the traitor Ivan Ogareff, are there no tidings of him?"	»En hvað um svikarann Ivan Ogareff, eru engar fréttir af honum?«
"None," replied General Kissoff.	»Engar.
"The head of the police cannot state whether or not he has crossed the frontier."	Lögreglustjóranum er ómögulegt að segja hvort hann er kominn yfir landamærin eða ekki.«
"Let a description of him be immediately dispatched to Nijni-Novgorod, Perm, Ekaterenburg, Kasirnov, Tioumen, Ishim, Omsk, Tomsk, and to all the telegraphic stations with which communication is yet open."	»Sjáðu til að tafarlaust sé send lýsing af honum til Nijni-Novgorod, Perm, Ekaterenborg, Kasimov, Toumen, Ishim, Omsk, Elamsk, Kalyvan, Tomsk, og til allra hraðfréttastöðva, sem enn næst til.«
By what means, by the exercise of what acuteness had these two ordinary mortals ascertained that which so many persons of the highest rank and importance scarcely even suspected?	En hvernig í ósköpunum fóru þessir tveir menn að fá svo greinilegar fregnir af því, sem svo mörgum hæststandandi embættismönnum var óljóst?
It is impossible to say.	Það er ómögulegt að segja.
Had they obtained a peculiar power of divining the most secret events?	Höfðu þeir máske eitthvert hulins afl til að komast að öllum leyndarmálum?
Was it owing to the habit, now become a second nature, of living on information, that their mental constitution had thus become really transformed?	Var það máske að þakka vananum, sem nú var orðinn að öðru eðli þeirra, vananum að lifa og þrífast á fréttum, að þeirra, sálarsjón og skilningur var þannig umskapaður orðinn?
It was difficult to escape from this conclusion.	Það var óþægilegt að komast að annari niðurstöðu.
Of these two men, the one was English, the other French;	Annar þessara manna var Englendingur. Hinn var franskur.
both were tall and thin, but the latter was sallow as are the southern Provencals, while the former was ruddy like a Lancashire gentleman.	Frakkinn var fölur, eins og Suður-Frakkar venjulega eru, en Englendingurinn var rjóður í kinnum eins og Lancashire gentle-maður.
but a physiognomist, regarding them closely, would have defined their particular characteristics by saying, that if the Frenchman was "all eyes," the Englishman was "all ears."	En andlitsfræðingar mundu hafa komist að þeirri niðurstöðu, eftir að hafa athugað þá, að ef Frakkinn var »allur augu«, þá var Englendingurinn »allur eyru«.
In fact, the visual apparatus of the one had been singularly perfected by practice.	Það var satt, að með æfingunni hafði sjón Frakkans náð undraverðri fullkomnun.
The sensibility of its retina must have been as instantaneous as that of those conjurors who recognize a card merely by a rapid movement in cutting the pack or by the arrangement only of marks invisible to others.	Augnahimna hans hefir hlotið að vera eins viðkvæm eins og töframanna þeirra, er þekkja spilin á fluginu þegar verið er að stokka þau, eða á svo hárfínum merkjum, að þau eru öllum öðrum ósýnileg.
The Frenchman indeed possessed in the highest degree what may be called "the memory of the eye."	Frakkinn hafði á fullkomnasta stigi það, sem mætti kalla: augnaminni.
The Englishman, on the contrary, appeared especially organized to listen and to hear.	Englendingurinn aftur á móti virtist hafa verið gerður til þess sérstaklega að hlusta og heyra.
When his aural apparatus had been once struck by the sound of a voice he could not forget it, and after ten or even twenty years he would have recognized it among a thousand.	Gæfist heyrnarfærum hans einu sinni tækifæri til að greina rödd einhvers manns var ómögulegt að hann gleymdi henni, og eftir 10 eða jafnvel 20 ár mundi hann hafa þekt hana úr þúsund radda klið.
It must be observed that this perfection of sight and hearing was of wonderful assistance to these two men in their vocation, for the Englishman acted as correspondent of the Daily Telegraph, and the Frenchman, as correspondent of what newspaper, or of what newspapers, he did not say;	Það er auðskilið að þessi fullkomnun sjónar og heyrnarfæranna var þessum mönnum undra gagnleg í stöðu þeirra. Því Englendingurinn var fregnriti blaðsins Daily Telegraph, og Frakkinn var fregnriti hvaða blaðs, eða blaða, það sagði hann ekki.
and when asked, he replied in a jocular manner that he corresponded with "his cousin Madeleine."	Væri hann spurður að því, kvaðst hann skrifast á við »Madeleine frænku sína«.
This Frenchman, however, neath his careless surface, was wonderfully shrewd and sagacious.	Undir galgopalegu yfirborði var samt þessi Frakki skarpskygn vel og séður.
Even while speaking at random, perhaps the better to hide his desire to learn, he never forgot himself.	Hann gleymdi sér aldrei, þó hann væri að tala út í hött, ef til vill stundum í þeim tilgangi að hylja sem bezt löngun sína að fá fréttir.
His loquacity even helped him to conceal his thoughts, and he was perhaps even more discreet than his confrere of the Daily Telegraph.	Mærð hans var jafnvel ákjósanlegasta felhella fyrir hugsanir hans og engu síður var hann varasamur, en félagsbróðir hans frá "Daily Telegraph".
Both were present at this fete given at the New Palace on the night of the 15th of July in their character of reporters.	Báðir voru í þessari veizlu, sem haldin var 15. júlí í nýju höllinni, sem fregnritar blaðanna, og til þess að lesendur þeirra, fengju meira en fáorða lýsingu af því mikla gildi.
Their journals did not restrict them with regard to money-the surest, the most rapid, the most perfect element of information known to this day.	Blöð þeirra skömtuðu þeim heldur ekki peningana úr hnefa og peningarnir eru vissasta og fljótvirkasta frumefnið við fréttasöfnun, sem heimurinn hefir þekkt fram á þennan dag.
It must also be added, to their honor, that neither the one nor the other ever looked over or listened at the walls of private life, and that they only exercised their vocation when political or social interests were at stake.	Þeim til heiðurs er líka sjálfsagt að geta þess, að þeir voru ekki menn sem gægjast um gættir og yfir girðingar, eða leggja hlustir að húsveggjum til að fregna hvað gerist í prívat-lífinu.
In a word, they made what has been for some years called "the great political and military reports."	Þeir fregnuðu að eins um það stóra og almenna, sem á einhvern hátt snerti þjóðlífið. Í einu orði:
Harry Blount was the name of the Englishman.	Frakkinn hét Alcide Jolivet, Englendingurinn hét Harry Blount.
They had just met for the first time at this fete in the New Palace, of which they had been ordered to give an account in their papers.	Þeir höfðu aldrei sézt fyrr en í þessari veizlu í nýju höllinni og þeir voru þar að boði blaða sinna, til að senda nákvæma lýsingu af gildinu.
The dissimilarity of their characters, added to a certain amount of jealousy, which generally exists between rivals in the same calling, might have rendered them but little sympathetic.	Það hefði ekki verið ótrúlegt, þó lítið hefði verið um vináttu þeirra, því fyrst og fremst vekur slík samkeppni nokkurskonar öfund og svo voru þeir að auki svo ólíkir að eðlisfari.
However, they did not avoid each other, but endeavored rather to exchange with each other the chat of the day.	Þó sneiddi hvorugur sig hjá öðrum, en reyndu þvert á móti að segja hvor öðrum nýjungar.
They were sportsmen, after all, hunting on the same ground.	Þeir voru, þegar allt kemur til alls, veiðimenn á sömu veiðistöðvum, og báðir vildu veiða hið sama.
That which one missed might be advantageously secured by the other, and it was to their interest to meet and converse.	Það sem annar kynni að missa sjónar á gat hann máske fengið bætt með viðræðum við hinn, og var þess vegna beggja hagur að ræða saman.
This evening they were both on the look out; they felt, in fact, that there was something in the air.	Þeir voru báðir sérlega vel vakandi þetta kvöld; þeir fundu það á sér, að eitthvað stóð til.
"I have telegraphed already, â splendid!'" replied Harry Blount calmly, employing the word specially devoted to expressing admiration by all subjects of the United Kingdom.	»Ég hefi þegar símað, að hún sé dýrðleg,« svaraði Harry Blount ofboð rólegur og lagði áherzlu á orðið, sem við slík tækifæri er svo almennt viðhaft á Bretlandi.
"Nevertheless," added Alcide Jolivet, "I felt compelled to remark to my cousin-"	»Þrátt fyrir það,« tók Jolivet fram í, »fann ég mér skylt að geta þess við frænku mína.«
"Your cousin?" repeated Harry Blount in a tone of surprise, interrupting his brother of the pen.	»Frænku!« tók Blount fram í, öldungis hissa.
