Closing the Loop for ALMA	ALMA nær mikilvægum áfanga
Three antennas working in unison open new bright year for revolutionary observatory	Þrjú samtengd loftnet tryggja bjart ár framundan hjá þessari byltingarkenndu sjónaukaröð
The Atacama Large Millimeter/submillimeter Array (ALMA) has passed a key milestone crucial for the high quality images that will be the trademark of this revolutionary new tool for astronomy.	Mikilvægur áfangi hefur náðst í Atacama Large Millimeter/submillimeter Array (ALMA) stjörnustöðinni sem tryggir að þessi nýi, byltingarkenndi sjónauki mun koma til með að skila hágæða myndum af alheiminum.
Astronomers and engineers have, for the first time, successfully linked three of the observatory's antennas at the 5000-metre elevation observing site in northern Chile.	Í fyrsta sinn hafa stjörnufræðingar og verkfræðingar tengt saman þrjú loftnet á hinum 5000 metra háa mælingarstað stjörnustöðvarinnar í norður Chile.
Having three antennas observing in unison paves the way for precise images of the cool Universe at unprecedented resolution, by providing the missing link to correct errors that arise when only two antennas are used.	Þrjú samtengd loftnet marka upphafið að nákvæmum myndum af hinum kalda alheimi í betri upplausn en áður hefur þekkst. Þau eru jafnframt það sem upp á vantar svo leiðrétta megi villur sem koma upp þegar þegar aðeins tvö loftnet eru samtengd.
On 20 November 2009 the third antenna for the ALMA observatory was successfully installed at the Array Operations Site, the observatorys “high site” on the Chajnantor plateau, at an altitude of 5000 metres in the Chilean Andes.	Þann 20. nóvember 2009 var þriðja loftneti ALMA stjörnustöðvarinnar komið fyrir á Chajnantor sléttunni í 5000 metra hæð í Andesfjöllunum í Chile.
Later, after a series of technical tests, astronomers and engineers observed the first signals from an astronomical source making use of all three 12-metre diameter antennas linked together, and are now working around the clock to establish the stability and readiness of the system.	Eftir fjölmargar tækniprófandi gerðu stjörnufræðingar og verkfræðingar fyrstu mælingarnar á stjarnfræðilegu fyrirbæri með öllum þremur 12 metra breiðu loftnetunum samtengdum. Þeir vinna nú myrkrana á milli við að ná stöðugleika í kerfið og gera það starfhæft.
“The first signal using just two ALMA antennas, observed in October, can be compared to a babys first babblings,” says Leonardo Testi, the European Project Scientist for ALMA at ESO.	„Líkja má fyrstu merkjum tveggja ALMA loftneta, sem náðust í október, við fyrstu hljóðin sem barn gefur frá sér“ segir Leonardo Tisti, vísindamaður sem starfar hjá ESO við ALMA verkefnið.
“Observing with a third antenna represents the moment when the baby says its very first, meaningful word - not yet a full sentence, but overwhelmingly exciting!	„Mælingar með þremur loftnetum er sú stund þegar barnið segir fyrstu raunverulegu orðin, nokkuð sem er alltaf stór áfangi!
The linking of three antennas is indeed the first actual step towards our goal of achieving precise and sharp images at submillimetre wavelengths.”	Samtenging þriggja loftneta eru fyrstu raunverulegu skrefin í átt til þess að ná skörpum og nákvæmum myndum á hálfsmillímetra bylgjulengdum.“
The successful linking of the antenna trio was a key test of the full electronic and software system now being installed at ALMA, and its success anticipates the future capabilities of the observatory.	Samtenging þriggja loftneta var lykilpróf fyrir rafeinda- og hugbúnaðinn sem verið er að setja upp í ALMA og árangurinn af því gefur vísbendingar um getu stjörnustöðvarinnar í framtíðinni.
When complete, ALMA will have at least 66 high-tech antennas operating together as an “interferometer”, working as a single, huge telescope probing the sky in the millimetre and submillimetre wavelengths of light.	Þegar smíði ALMA lýkur munu 66 loftnet starfa saman sem „víxlmælir“ og mynda einn stóran sjónauka sem mælir millímetra og hálfsmillímetra geislun utan úr geimnum.
The combination of the signals received at the individual antennas is crucial to achieve images of astronomical sources of unprecedented quality at its designed observing wavelengths.	Nauðsynlegt er að sameina mælingar hvers loftnets í eitt merki svo unnt sé að ná þeim hágæða myndum á þeim bylgjulengdum sem sjónaukinn er hannaður til að mæla.
The three-antenna linkup is a critical step towards the observatorys operations as an interferometer.	Samtenging loftnetanna er nauðsynlegt skref í átt að því að sjónaukinn myndi víxlmæli.
Although the first, successful measurements employing just two antennas were obtained at the ALMA high site from October 2009 (see ESO Announcement) and demonstrated the excellent performance of the instruments, the addition of the third antenna is a leap of vital importance into the future of the observatory.	Fyrstu árangursríku mælingarnar voru gerðar með einungis tveimur loftnetum á Chajnantor sléttunni í október 2009 (sjá tilkynningu ESO) og sýndu vel gæði tækjanna.
This major milestone for the project is known as “phase closure” and provides an important independent check on the quality of the interferometry.	Þriðja loftnetið markar hins vegar þáttaskil í framtíð stjörnustöðvarinnar. Þessi stóri áfangi tryggir að nú má gera sjálfstæðar prófanir á gæðum víxlmælisins.
“The use of a network of three (or more) antennas in an interferometer dramatically enhances its performance over a simple pair of antennas,” explains Wolfgang Wild, the European ALMA Project Manager.	„Notkun þriggja (eða fleiri) loftneta í víxlmæli er mikil framför úr tveimur loftnetum“ segir Wolfgang Wild, verkefnisstjóri evrópska hluta ALMA.
“This gives astronomers control over possible features which degrade the quality of the image, arising due to the instrument or to atmospheric turbulence.	„Það gerir stjörnufræðingum kleift að átta sig á þáttum sem draga úr myndgæðum og rekja má til tækjanna sjálfra eða truflana í lofthjúpnum.
By comparing the signals received simultaneously by the three individual antennas, these unwanted effects can be cancelled out - this is completely impossible using only two antennas.”	Með samanburði á mælingum sem gerðar eru samtímis með þremur stökum loftnetum er hægt að eyða þessum áhrifum - nokkuð sem er ómögulegt að gera með einungis tveimur loftnetum.“
To achieve this crucial goal, astronomers observed the light coming from a distant extragalactic source, the quasar QSO B1921-293, well known to astronomers for its bright emission at very long wavelengths, including the millimetre/submillimetre range probed by ALMA.	Til að ná þessu mikilvæga markmiði mældu stjörnufræðingar ljós frá dulstirninu QSO B1921-293, sem er langt fyrir utan Vetrarbrautina okkar. Stjörnufræðingar þekkja þetta dulstirni vel því það gefur frá sér mikla útgeislun á mjög löngum bylgjulengdum, þar á meðal á millímetra og hálfsmillímetrasviðinu sem ALMA nemur.
The stability of the signal measured from this object shows that the antennas are working impressively well.	Mælingarnar voru stöðugar sem sýndi að loftnetin virka mjög vel.
Several additional antennas will be installed on the Chajnantor plateau over the next year and beyond, allowing astronomers to start producing early scientific results with the ALMA system around 2011.	Á næstunni verður nokkrum loftnetum til viðbótar komið fyrir á Chajnantor sléttunni sem gerir stjörnufræðingum kleift að fá fyrstu niðurstöður frá ALMA árið 2011.
After this, the interferometer will steadily grow to reach its full scientific potential, with at least 66 antennas.	Víxlmælirinn stækkar svo jafnt og þétt uns fullri getu er náð en verða loftnetin orðin 66 talsins.
ALMA, an international astronomy facility, is a partnership of Europe, North America and East Asia in cooperation with the Republic of Chile.	ALMA er alþjóðlegt samstarfsverkefni Evrópu, Norður Ameríku og austur Asíu í samvinnu við Chile.
VLT Captures First Direct Spectrum of an Exoplanet	VLT mælir litróf fjarreikistjörnu með beinum hætti í fyrsta sinn
By studying a triple planetary system that resembles a scaled-up version of our own Suns family of planets, astronomers have been able to obtain the first direct spectrum - the “chemical fingerprint” [1] - of a planet orbiting a distant star [2], thus bringing new insights into the planet's formation and composition.	Með því að rannsaka sólkerfi þriggja reikistjarna, sem líkist stækkaðri útgáfu af sólkerfinu okkar, hafa stjörnufræðingar gert fyrstu beinu litrófsmælingarnar - tekið „fingraförin“ [1] - á reikistjörnu á braut um fjarlæga stjörnu [2] og þannig fengið nýja innsýn í myndum og efnasamsetningu reikistjarna.
The result represents a milestone in the search for life elsewhere in the Universe.	Niðurstöðurnar marka tímamót í leitinni að lífi annars staðar í alheiminum.
“The spectrum of a planet is like a fingerprint.	„Litróf reikistjörnu er eins og fingrfar.
It provides key information about the chemical elements in the planets atmosphere,” says Markus Janson, lead author of a paper reporting the new findings.	Það veitir okkur lykilupplýsingar um efnin í lofthjúpi reikistjörnunnar“ segir Markus Janson, aðalhöfundur greinar um þessar nýju mælingar.
“With this information, we can better understand how the planet formed and, in the future,we might even be able to find tell-tale signs of the presence of life.”	„Með þessum upplýsingum getum við skilið betur hvernig reikistjörnur myndast og með sömu aðferð gætum við í framtíðinni jafnvel fundið merki um líf á öðrum reikistjörnum.“
The researchers obtained the spectrum of a giant exoplanet that orbits the bright, very young star HR 8799.	Stjörnufræðingarnir gerðu litrófsmælingar á risareikistjörnu sem hringsólar umhverfis bjarta og unga stjörnu sem nefnist HR 8799.
The system is at about 130 light-years from Earth. The star has 1.5 times the mass of the Sun, and hosts a planetary system that resembles a scaled-up model of our own Solar System.	Þetta sólkerfi er í um 130 ljósára fjarlægð en móðurstjarnan sjálf er 1,5 sinnum massameiri en sólin og geymir sólkerfi sem segja má að líkist stækkaðri útgáfu af okkar eigin sólkerfi.
Three giant companion planets were detected in 2008 by another team of researchers, with masses between 7 and 10 times that of Jupiter.	Árið 2008 fundu aðrir stjörnufræðingar þrjár risareikistjörnu á braut um þessa stjörnu sem allar eru milli 7 og 10 sinnum massameiri en Júpíter.
They are between 20 and 70 times as far from their host star as the Earth is from the Sun;	Allar eru þær milli 20 til 70 sinnum lengra frá sinni móðurstjörnu en jörðin er frá sólinni.
the system also features two belts of smaller objects, similar to our Solar System's asteroid and Kuiper belts.	Í þessu sólkerfi hafa líka fundist tvö belti svipuð smástirnabeltinu og Kuipersbeltinu í sólkerfinu okkar.
