Chapter 1 - Of Fiddle Mord	Kafli 1
There was a man named Mord whose surname was Fiddle;	Mörður hét maður er kallaður var gígja.
he was the son of Sigvat the Red, and he dwelt at the "Vale" in the Rangrivervales.	Hann var sonur Sighvats hins rauða. Hann bjó á Velli á Rangárvöllum.
He was a mighty chief, and a great taker up of suits, and so great a lawyer that no judgments were thought lawful unless he had a hand in them.	Hann var ríkur höfðingi og málafylgjumaður mikill og svo mikill lögmaður að engir þóttu löglegir dómar dæmdir nema hann væri við.
He had an only daughter, named Unna.	Hann átti dóttur eina er Unnur hét.
She was a fair, courteous and gifted woman, and that was thought the best match in all the Rangrivervales.	Hún var væn kona og kurteis og vel að sér og þótti sá bestur kostur á Rangárvöllum. Nú víkur sögunni vestur til Breiðafjarðardala.
Now the story turns westward to the Broadfirth dales, where, at Hauskuldstede, in Laxriverdale, dwelt a man named Hauskuld, who was Dalakoll's son, and his mother's name was Thorgerda.	Maður er nefndur Höskuldur. Hann var Dala-Kollsson. Móðir hans hét Þorgerður og var dóttir Þorsteins hins rauða, Ólafssonar hins hvíta, Ingjaldssonar, Helgasonar.
he was one of the wisest of men - stern towards his foes, but a good counsellor on great matters.	Hrútur var vænn maður, mikill og sterkur, vígur vel og hógvær í skapi, manna vitrastur, hagráður við vini sína en tillagagóður hinna stærri mála.
It happened once that Hauskuld bade his friends to a feast, and his brother Hrut was there, and sat next him.	Það var einu hverju sinni að Höskuldur hafði vinaboð og þar var Hrútur bróðir hans og sat hið næsta honum.
Hauskuld had a daughter named Hallgerda, who was playing on the floor with some other girls.	Höskuldur átti sér dóttur er Hallgerður hét.
So she went up to him, and he took her by the chin, and kissed her;	Hún gekk þegar til hans. Hann tók undir hökuna og kyssti hana.
and after that she went away.	Síðan gekk hún í braut.
Chapter 2 - Hrut woos Unna	Kafli 2
It happened once that those brothers, Hauskuld and Hrut, rode to the Althing, and there was much people at it.	Það var einu hverju sinni að þeir bræður riðu til alþingis, Höskuldur og Hrútur. Þar var fjölmenni mikið.
Then Hauskuld said to Hrut, "One thing I wish, brother, and that is, that thou wouldst better thy lot and woo thyself a wife."	Þá ræddi Höskuldur við Hrút: «Það vildi eg bróðir að þú bættir ráð þitt og bæðir þér konu.»
Hrut answered, "That has been long on my mind, though there always seemed to be two sides to the matter;	Hrútur svarar: «Lengi hefir mér það í hug verið og hefir mér þó tvennt um sýnst.
but now I will do as thou wishest;	En nú vil eg gera að þínu skapi eða hvar skulum við á leita?»
Hauskuld answered, "Here now are many chiefs at the Thing, and there is plenty of choice, but I have already set my eyes on a spot where a match lies made to thy hand.	«Hér eru nú höfðingjar margir á þingi og er gott um að velja en þó hefi eg í einum stað á stofnað fyrir þína hönd.
The woman's name is Unna, and she is a daughter of Fiddle Mord one of the wisest of men. He is here at the Thing, and his daughter too, and thou mayest see her if it pleases thee."	Kona heitir Unnur og er dóttir Marðar gígju, hins vitrasta manns, og er hann hér á þingi og svo dóttir hans og mátt þú nú sjá hana ef þú vilt.»
Now the next day, when men were going to the High Court, they saw some well-dressed women standing outside the booths of the men from the Rangrivervales, Then Hauskuld said to Hrut -	Og annan dag eftir er menn gengu til lögréttu sáu þeir konur úti hjá Rangæingabúð, vel búnar.
"Well," answered Hrut; "but yet I do not know whether we should get on well together."	«Vel,» sagði hann, «en eigi veit eg hvort við eigum heill saman.»
After that they went to the High Court, where Fiddle Mord was laying down the law as was his wont, and alter he had done he went home to his booth.	Síðan ganga þeir til lögréttu. Mörður gígja mælti lögskil að vanda sínum og gekk heim til búðar sinnar.
Then Hauskuld and Hrut rose, and went to Mord's booth.	Höskuldur stóð upp og Hrútur og gengu til búðar Marðar og inn í búðina.
They went in and found Mord sitting in the innermost part of the booth, and they bade him "good day".	Mörður sat í innanverðri búðinni. Þeir kvöddu hann.
He rose to meet them, and took Hauskuld by the hand and made him sit down by his side, and Hrut sat next to Hauskuld, So after they had talked much of this and that, at last Hauskuld said, "I have a bargain to speak to thee about;	Hann stóð upp í mót þeim og tók í hönd Höskuldi og settist hann niður hjá honum en Hrútur sat hið næsta Höskuldi. Síðan töluðu þeir mart og komu þar niður ræður Höskulds að «eg mæli til kaupa við þig.
Hrut wishes to become thy son-in-law, and buy thy daughter, and I, for my part, will not be sparing in the mattes".	Vill Hrútur gerast mágur þinn og kaupa dóttur þína og skal eg eigi mitt til spara.» Mörður svaraði:
Mord answered, "I know that thou art a great chief, but thy brother is unknown to me".	«Veit eg að þú ert höfðingi mikill en bróðir þinn er mér ókunnigur.»
"He is a better man than I," answered Hauskuld.	Höskuldur mælti: «Framar er hann en eg.»
"Thou wilt need to lay down a large sum with him, for she is heir to all I leave behind me," said Mord.	Mörður mælti: «Mikið munt þú þurfa fram að leggja með honum því að hún á allan arf eftir mig.»
"There is no need," said Hauskuld, "to wait long before thou hearest what I give my word he shall have.	«Eigi þarf og lengi að bíða hvað eg skal á kveða,» sagði Höskuldur, «hann skal hafa Kambsnes og Hrútsstaði og upp til Þrándargils.
Then said Hrut to Mord, "Bear in mind, now, husband, that my brother has praised me much more than I deserve for love's sake; but if after what thou hast heard, thou wilt make the match, I am willing to let thee lay down the terms thyself".	«Hugsa svo um bóndi að bróðir minn mun mér mjög hafa fram haldið fyrir ástar sakir. En ef þér viljið gera málið að álitum þá vil eg að þér gerið kostinn.»
Mord answered, "I have thought over the terms;	Mörður svaraði: «Hugsað hefi eg kostinn.
she shall have sixty hundreds down, and this sum shall be increased by a third more in thine house, but if ye two have heirs, ye shall go halves in the goods".	Hún skal hafa sex tigu hundraða og skal aukast þriðjungi í þínum garði en ef þið eigið erfingja þá skal vera helmingarfélag með ykkur.»
After that they stood up and shook hands, and Mord betrothed his daughter Unna to Hrut, and the bridal feast was to be at Mord's house, half a month after Midsummer.	Síðan stóðu þeir upp og tókust í hendur og fastnaði Mörður Hrúti dóttur sína Unni og skyldi boð vera hálfum mánuði eftir mitt sumar að Marðar.
Now both sides ride home from the Thing, and Hauskuld and Hrut ride westward by Hallbjorn's beacon.	Nú ríða þeir heim af þingi hvorirtveggju og ríða þeir vestur hjá Hallbjarnarvörðum.
Then Thiostolf, the son of Biorn Gullbera of Reykiardale, rode to meet them, and told them how a ship had come out from Norway to the White River, and how aboard of her was Auzur, Hrut's father's brother, and he wished Hrut to come to him as soon as ever he could.	Þá reið í mót þeim Þjóstólfur, son Bjarnar gullbera úr Reykjardal, og sagði þeim skipkomu í Hvítá og var þar kominn út Össur föðurbróðir Hrúts og vildi að Hrútur kæmi til fundar við hann sem fyrst.
When Hrut heard this, he asked Hauskuld to go with him to the ship, so Hauskuld went with his brother, and when they reached the ship, Hrut gave his kinsman Auzur a kind and hearty welcome.	En er Hrútur spurði þetta þá bað hann Höskuld fara til skips með sér. Höskuldur fór og þeir báðir. En er þeir komu til skips fagnar Hrútur Össuri frænda sínum vel og blíðlega. Össur bauð þeim inn í búð að drekka.
