Publication detail	Nánar um útgáfu
Registered students at the upper secondary and tertiary level in autumn 2010	Skráðir nemendur í framhalds- og háskólum haustið 2010
Statistical Series	Hagtíðindi
Download PDF	Sækja pdf skjal
In autumn 2010 there were 47,240 students enrolled.	Haustið 2010 voru skráðir nemendur á framhalds- og háskólastigi 47.240.
Earnings in the private sector by occupational group 2013	Laun starfsstétta á almennum vinnumarkaði 2013
Inhabitants	Mannfjöldi
Water	Vatnafar
Statistics Iceland provides detailed information on the resident population in Iceland 1 January each year.	Hagstofan vinnur ýtarleg gögn um mannfjöldann og breytingar hans í samræmi við íbúaskrá Þjóðskrár Íslands 1. janúar ár hvert.
Figures for the population on 1 December and preliminary quarterly figures, including main demographic events, are also published.	Hagstofan birtir einnig tölur um mannfjöldann miðað við 1. desember og bráðabirgðatölur fyrir hvern ársfjórðung.
Figures on changes in the demographic characteristics of the Icelandic population are published yearly, e.g. information on marriages, consensual unions, divorces, births, deaths, adoptions, changes in residence, in citizenship and religious affiliation.	Þá birtir Hagstofan tölur um breytingar mannfjöldans, fjölda fæddra og dáinna, um hjónavígslur og skilnaði, um búferlaflutninga, ríkisfangs- og trúfélagsbreytingar, auk ættleiðinga.
The first projection of population in Iceland was carried out in 1961 for the state's execution plan and extended to 2000.	Fyrsti framreikningur um mannfjölda á Íslandi var gerður 1961 vegna Framkvæmdaáætlunar ríkisins og náði til ársins 2000.
Statistics Iceland carried out parallel projections in 1972, 1986, 1995, 2001, 2002, 2007, 2008, 2010 and yearly from 2010.	Síðan stóð Hagstofa Íslands að hliðstæðum framreikningi árin 1972, 1986, 1995, 2001, 2002, 2007, 2008 og 2010 og árlega frá 2010.
The population projection is based on information from the National Register of Persons on population, births, deaths, migration and projected average life expectancy for the coming years.	Í forsendum framreikningsins er stuðst við upplýsingar úr þjóðskrá um mannfjölda, fædda, dána, búferlaflutninga og áætlaða meðalævilengd á komandi árum.
Education	Menntun
In 1998 the collection of data on the personnel and operation of upper secondary schools, colleges and universities was started.	Upplýsingum um starfsfólk í framhaldsskólum og háskólum hefur verið safnað frá árinu 1998.
Information and communication technology in enterprises 2012	Upplýsingatækni og netnotkun fyrirtækja 2012
Computers and internet access are in 99% of enterprises in Iceland with 10 or more persons employed.	Tölvur og nettengingar eru á 99% íslenskra fyrirtækja með 10 eða fleiri starfsmenn.
The number of enterprises with websites has increased from the year 2010 and are now 86% of enterprises with 10 or more persons employed.	Fyrirtækjum með eigin vefsíður eða vefsetur hefur fjölgað frá árinu 2010 og eru nú 86% fyrirtækja með 10 eða fleiri starfsmenn.
30% enterprises in that size range employ a IT/ICT specialist and 67% of connected enterprises provide wireless devices for connecting to the internet outside of workplaces.	30% fyrirtækja af þeirri stærð eru með starfandi sérfræðing í upplýsingatækni og 67% nettengdra fyrirtækja veita starfsfólki þráðlaus tæki til að tengjast neti utan vinnustaða.
Registered students in schools at the upper secondary and tertiary level in autumn 2011	Skráðir nemendur í framhalds- og háskólum haustið 2011
There were 29,389 registered students at the upper secondary level and 19,334 at the tertiary level.	Til náms á framhalds- og viðbótarstigi voru skráðir 29.389 og 19.334 til náms á háskóla- og doktorsstigi.
The decrease in the number of students from last year has mostly been reversed.	Fækkun sem varð á síðasta ári er nú að mestu gengin til baka.
The number of elementary school pupils in upper secondary schools decreased for the third year in a row.	Hins vegar fækkaði nemendum grunnskóla sem sóttu nám í framhaldsskólum þriðja árið í röð.
Building cost index on a new base	Vísitala byggingarkostnaðar á nýjum grunni
A rebased building cost index was published on the 21st of January 2010.	Vísitala byggingarkostnaðar var birt á nýjum grunni hinn 21. janúar 2010.
