Affirmative.	Staðfest.
2-5 right.	2-5 hægri. { y:
Over.	i } Yfir.
I've got to quit smoking cigarettes.	Ég verð að hætta að reykja.
Thank you for telling me, Eagle Nest.	Takk fyrirað segja mér, { y: i } Eagle { y: i } Nest.
But if you could show it to me as well, I would be grateful.	En ef þú gætir líka sýnt mér,..... yrði égþakklátur.
I see the lights.	Ég sé ljósin.
They are directly in front of me.	Þau eru beintfyrir framan mig.
Gracias, compadre.	Takk, félagi.
Wish me luck.	Minnka hraða. { y:
We copy.	Við heyrum.
We'll have you in five minutes.	Þú lendir eftir fimm mínútur.
That's right, asshole.	Það er rétt, hálfviti.
We'll have you in five minutes.	Þið komið eftir fimm mínútur.
I see your lights.	Ég sé ljósin.
Come to papa, scumbag. Uhh!	Komdu til pabba, úrhrak.
Un!	Uh!
Oh.	Ó.
No!	Nei!
Freedom.	Frelsi.
Not yet.	Ekki enn.
You're supposed to stay in your seat until the plane reaches the terminal.	Þú átt að vera í sætinu þínu þangað til vélin kemur að termínalnum.
No frequent-flier mileage for you.	Engar sérþarfir, fyrir þig.
Who are you?	Hver ertu?
A cop.	Lögga.
A cop?	Lögga?
Yeah, one of the good guys. You're one of the bad guys, and now that I got your sorry ass, I'm going to trade it for my wife.	Þú ert einn vondu gæjanna,..... og nú þar sem ég náði í þitt auma rassgat ætla ég að skipta á því og konunni minni.
Sit down!	Sestu!
Go in!	Inn!
Where did he go?	Hvert fór hann?
In there.	Þangað inn.
I don't believe this.	Ég trúi þessu ekki.
Two months of planning, and you can't anticipate one pendejo of a cop.	Tveggja mánaða skipulagning..... og þú getur ekki falið þig fyrir einni helvítis löggu.
Come on, General.	Komdu, ofursti.
Where the hell is Colonel Stuart?	Hvar í andskotanum er Stuart ofursti?
General!	Ofursti!
Ah!	A!
I'm all right.	Ég er í lagi.
He said he was a policeman.	Hann sagðist vera lögga.
I thought you had this place secured.	Ég hélt þetta ætti að vera öruggt svæði.
He went in the cockpit.	Hann fór inní flugstjóraherbergið.
He's going to hell!	Hann fer til fjandans!
McClane!	McClane!
I assume it's you, McClane.	Ég geri ráð fyrir, að þetta sért þú McClane.
You're quite a little soldier.	Þú ert aldeilis mikill hermaður.
You can consider this a military funeral!	Þú mátt líta á þetta sem jarðaför á vegum hersins.
Aah!	Ah!
How many grenades we got?	Hvað erum við með margar handsprengjur?
Three each!	Þrjár!
Use them!	Notaðu þær!
Oh, my...	Ó, mæ...
Go! Aah!	Áfram!
You lucky fuck.	Þú heppni Hrólfur.
Fire trucks, sir.	Slökkviliðsbílar, herra.
Fall back to the church.	Fariði aftur heim.
Now!	Núna!
Where's the fucking door?	Hvar er helvítis hurðin?
They're getting a little nervous back there.	Þeir eru að verða svolítið taugaveiklaðir.
In fact, so am I. We're right over Washington.	Ég er líka að verða það. Við erum rétt yfir Washington.
See if you can get any TV.	Gáðu hvort þú nærð einhverju sjónvarpi.
That will settle them down.	Það róar þau.
Works for me.	Virkar á mig.
I'll...	Ég ætla...
Writing your acceptance speech for the Video Sleaze Awards?	Að skrifa þakkarræðuna þína fyrir subbu vídeó verðlaunin.
