We both know it.	Við vitum það bæði.
I wanted you to hear this at the same time.	Ég vil að þið heyrið þetta samtímis.
You're gonna get to go home.	Þið fáið að fara heim.
How?	Hvernig?
You'll have to sign a statement.	Þið verðið að undirrita yfirlýsingu.
Admit you're wrong. Forget Nick...	Játa að ykkur hafi skjátlast...
A statement?	Yfirlýsingu?
I can't do that.	Ég get það ekki.
This is the official, face-saving confession.	Það er svo að þeir bjargi andlitinu opinberlega.
You corroborate the police version of events.	Þið samþykkið útgáfu lögreglunnar.
That's our part of the deal.	Það er okkar hluti samkomulagsins.
Then the crown will pardon you.	Þá mun krúnan náða ykkur.
Then you get to go home.	Þá fáið þið að fara heim.
All right.	Allt í lagi.
It's okay.	Þetta er allt í lagi.
No pardon: Narcotic offender.	Engin náðun: Eiturlyfjabrot.
What's the problem?	Hvað er að?
No pardon.	Engin náðun.
They are narcotics smugglers.	Þær eru eiturlyfjasmyglarar.
You son of a bitch, we have a deal.	Við gerðum samkomulag, helvítið þitt.
Yes, nicely done.	Vel gert.
You really had me going.	Þú gabbaðir mig.
But now there is no more Skip Carn.	En nú er Skip Carn ekki til lengur.
No one will get to him, so no deal.	Nú nær honum enginn. Ekkert samkomulag.
Wait.	Bíðið.
No, get them off me.	Sleppið mér.
You may speak English.	Þú mátt tala ensku.
My best friend is not a drug smuggler.	Vinkona mín er ekki smyglari.
She is innocent.	Hún er saklaus.
She's innocent.	Hún er saklaus.
All she ever did wrong was to trust me.	Hennar eini glæpur var að treysta mér.
Here you believe one friend knows what the other does.	Hér er talið að vinir viti allt um hvorn annan.
Maybe that's friendship but I'm American, and I was not that kind of a friend.	Kannski er það vinátta, en ég er bandarísk og var ekki þannig vinur.
I know this.	Ég veit það.
Because I did it.	Því ég gerði það.
Because I was foolish and jealous.	Ég var fávís og afbrýðissöm.
I was afraid she 'd drift away.	Ég óttaðist að hún færi.
I was afraid I was gonna lose her.	Ég óttaðist að glata henni.
She never knew.	Hún vissi ekkert.
It was all me.	Bara ég.
She spent all this time in your prison for my mistakes.	Hún hefur setið inni vegna mistaka sem ég gerði.
I'm sorry.	Fyrirgefið mér.
Please, if you need someone to do the time, I'll do it.	Ég skal afplána dóminn.
I'll do her time and mine.	Minn og hennar.
Just let her go, please.	En leyfið henni að fara.
Then you're of strong character and would lie to save your friend?	Þú ert sterk persóna og myndir ljúga til að bjarga henni.
No, I am of weak character.	Nei, ég er veiklynd.
And I just want to make up for my mistakes. If you're lying to save your friend then you're of sufficient character to earn what you want.	Ég vil bara bæta fyrir mistök mín. Ef þú lýgur til að bjarga vinkonu þinni ertu nógu sterk persóna til að taka því sem að höndum ber.
If you're telling the truth then your friend is innocent and should go free.	Ef þú segir satt er vinkona þín saklaus og ætti að fá að fara.
If you are willing to serve her term and yours your friend is pardoned.	Ef þú ert tilbúin til að afplána dóm beggja fær vinkona þín náðun.
Thank you. Thank you.	Þakka þér fyrir.
Darlene must go soon.	Darlene verður að fara.
You're a very good liar.	Þú ert mjög góður lygari.
You didn't do it.	Þú ert saklaus.
I know you didn't do it.	Ég veit þú ert það.
I don't think I can leave you.	Ég get ekki skilið þig eftir.
If I say it was the truth you'll hate me.	Ef ég segi að þetta sé satt, muntu hata mig.
And if I say I lied then when you go home, all the time with your family...	Ef ég segist hafa logið muntu fara heim til fjölskyldunnar en...
You won't be able to just be happy.	En aldrei geta verið hamingjusöm.
So let's just say it was the right thing to do.	Segjum bara að þetta hafi verið rétt.
Let's just leave it at that.	Látum það nægja.
Come, Darlene.	Komdu nú, Darlene.
I'm going to get you out of here.	Ég næ þér héðan út.
I know.	Ég veit það.
Go, Dar.	Farðu, Dar.
I need you to.	Þú verður að fara, fyrir mig.
Please.	Gerðu það.
A lot of people won't understand why I said I did it.	Margir munu ekki skilja af hverju ég sagðist hafa gert það.
But for me, it was the right thing to do.	En ég taldi þetta vera rétt.
Maybe more right than anything I ever did.	Kannski mitt mesta afrek.
Darlene and Hank won't stop trying till I'm out of here.	Darlene og Hank gefast ekki upp Fyrr en ég er frjáls.
Until I'm free.	Íslenskur texti eftir:
862 1.0 2010-01-02 01:35:07,000 English 1/1 7756 0 0 22 utf-8 1086 0 Drama,Mystery,Thriller English, Thai 100 1999 USA	SDI Media Group [ ICELANDIC ] 860 Icelandic 1.0 1/1 2004-11-15 01:36:32,040 USA 100 Drama,Mystery,Thriller 1999 English, Thai 0 1016 0 6013 6 iso-8859-4 0
Katie!	Katie!
Cora! You love your sister? You make any noise, you know what happens.	Cora! þykir þęr vænt um systur þína? þú veistu hvað gerist ef þú lætur í þęr heyra.
Good morning, Estelle.	Góðan daginn, Estelle.
How am I looking, Paul? That's better. That's better.	Hvernig líst þér á mig, Paul? - þú lítur mun betur út.
Morning, Mr. Edgecomb.	Daginn, herra Edgecomb.
Some Danish?	Viltu vínarbrauð?
No, just two pieces of dry toast, Hector. Thanks.	Nei, bara tvær sneiðar af þurru, ristuðu brauði, takk, Hector.
Leftover's fine. Dry and cold, same as always.	Mega vera gamlar. þurrar og kaldar, eins og venjulega.
Cold is better.	Mér finnst þær betri kaldar.
Especially on those long walks.	Sérstaklega til að hafa með í þessar löngu gönguferðir.
Where do you go every day?	Hvert ferðu alltaf?
What do you do up in those hills?	Hvað gerirðu þarna uppi í hæðunum?
Just walk.	Bara geng.
You want this man in your life? Explain the moral basis of that.	Viltu hafa þennan mann í lífi þínu að staðaldri?
I've made mistakes. Tony doesn't admit that he's not a good father. You can't ask nothing.	Ég viðurkenni mistök mín. Tony viðurkennir ekki að hann sę slæmur faðir. þú hefur engan rętt.
I have six kids myself.	Ég á sjálf sex börn.
Why do we always watch this stuff?	Af hverju horfum við alltaf á þennan þátt?
It's interesting.	Hann er athyglisverður.
Interesting? Bunch of inbred trailer trash? All they ever talk about is fucking.	Athyglisverður? þetta innræktaða hjólhýsapakk? það talar aldrei um annað en að ríða.
Are you all right? You look tired. You're not yourself.	Er allt í lagi? þú ert þreytulegur, ekki sjálfum þér líkur.
No, I'm fine. I promise.	Nei, þetta er allt í lagi.
You're wearing yourself out with those walks every day, I think.	Ég held að þú ofgerir þér með þessum göngutúrum.
Not that you asked me.	En þú vilt ekki heyra mitt álit.
I just didn't sleep well, is all.	Ég svaf bara ekki vel.
I had a few bad dreams. It happens.	Mig dreymdi illa, það gerist stundum.
I'll be fine.	Ég næ mér strax.
If Madge doesn't care, I certainly don't.	Ef Madge er sama, þá er męr líka sama.
Neither do I. Now, this here is worth a look.	Og męr líka. það er eitthvað varið í þetta.
My God.	Guð minn góður.
I've got to get out of here.	Ég verð að komast út.
I guess sometimes the past just catches up with you whether you want it to or not. It's silly.	Ætli fortíð manns gangi ekki stundum aftur hvort sem maður vill eða ekki. þetta var kjánalegt.
Was it the film? It was, wasn't it?	Var það myndin? það var hún, er það ekki?
I haven't spoken of these things for a long time, Ellie.	Ég hef ekki talað um þetta í langan tíma, Elaine.
Over 60 years.	Ekki í 60 ár.
Paul, I'm your friend.	Paul, ég er vinur þinn.
I ever tell you that I was a prison guard during the Depression? You've mentioned it.	Hef ég sagt þér að ég var fangavörður í kreppunni? þú hefur minnst á það.
Did I mention I was in charge of death row?	Minntist ég á að ég var yfir - fangavörður dauðadeildarinnar?
That I supervised all the executions?	Að ég stjórnaði öllum aftökunum?
Usually, death row is called "The Last Mile."	Venjulega er dauðadeildin kölluð "Síðasta mílan ".
We called ours "The Green Mile."	Við kölluðum okkar deild "Grænu míluna ".
The floor was the color of faded limes.	Gólfið var ljósgrænt á litinn.
We had the electric chair."	Við vorum með rafmagnsstól.
Old Sparky," we called it.	Við kölluðum hann "Blossa gamla ".
I've lived a lot of years, Ellie but 1935, that takes the prize. That year, I had the worst urinary infection of my life. It was... It was also the year of John Coffey and the two dead girls.	Ég hef nú lifað þau mörg árin, Ellie en 1935 er mér minnisstæðast. það ár fékk ég verstu blöðrubólgu sem ég hef upplifað og það var líka ár Johns Coffey og dánu stúlknanna tveggja.
Put me through to E Block.	Gefðu mér samband við E-álmu.
E Block.	E-álma.
Right.	Allt í lagi.
Paul?	Paul?
Prisoner.	Fanginn.
Christ, give me a minute.	Ég kem eftir augnablik!
You all right?	Er allt í lagi?
For a man pissing razorblades, yeah. You should've took the day off to see the doctor. With the new arrival? You know better.	Miðað við að ég pissa rakvélablöðum, já. þú hefðir átt að taka þér frí í dag og fara til læknis. þegar von er á nýjum fanga? þú veist ég geri það ekki.
Besides it's not as bad as it was.	Svo finnst mér þetta vera að skána.
I think it's clearing up.	Ég held að bólgan sé að réna.
Let's look alive, Dean.	Vertu viðbúinn, Dean.
Yes, sir.	Já, herra.
Damn.	Fjandinn.
Dead man walking!	Dauðamaður á ferð!
We got a dead man walking here!	Dauðamaður á ferð!
Jesus please us, what is he yelling about? You might reconsider getting in the cell with this guy.	Hvað er hann eiginlega að æpa? það er ekki víst að þú viljir fara inn í klefa með þessum.
He's enormous.	Hann er risavaxinn.
Can't be bigger than you.	Hann er varla stærri en þú.
Dead man walking here!	Dauðamaður á ferð hér!
We got a dead man walking here!	Hér er dauðamaður á ferð!
Dead man walking!	Dauðamaður á ferð!
We got a dead man walking here! Percy.	Hér er dauðamaður á ferð!
That's enough.	Hættu þessu.
Am I gonna have any trouble with you, big boy?	Ætlar þú að valda mér einhverjum vandræðum, stóri strákur?
Can you talk?	Geturðu talað?
Yes, sir, boss.	Já, herra stjóri.
I can talk.	Ég get talað.
Move your ass.	Inn með þig.
Let's go.	Svona nú.
Come on. Percy they're moving house in the infirmary.	Percy. það er verið að flytja hjúkrunardeildina.
Why don't you go see if they could use some help? They got all the men they need.	Viltu ekki fara og athuga hvort þeir þurfa aðstoð? þeir þurfa ekki fleiri.
Why don't you just make sure?	Af hverju ferðu ekki og athugar það?
I don't care where you go, as long as it's not here at this moment. All right.	Mér er sama hvert þú ferð meðan þú ert bara ekki hérna, núna. þú braust á mér fingurinn.
I let Harry take those chains off you you gonna be nice? Your name is John Coffey.	Ef ég læt Harry taka af þér járnin verðurðu þá þægur? þú heitir John Coffey.
Like the drink, only not spelt the same.	Eins og drykkurinn bara ekki stafað eins.
You can spell, can you?	Kanntu að stafa?
Just my name, boss. J...	Bara nafnið mitt, stjóri.
O...	J-O...
My name is Paul Edgecomb. If I'm not here, you can ask for Mr. Terwilliger Mr. Howell or Mr. Stanton. These gentlemen right there.	Ég heiti Paul Edgecomb. þegar ég er ekki hér geturðu beðið um herra Terwilliger herra Howell eða herra Stanton. þessa herra hér.
Questions?	Einhverjar spurningar?
Do you leave the light on after bedtime?	Er ljósið nokkuð slökkt á háttatíma?
I tried to take it back, but it was too late.	Ég reyndi að taka það aftur en það var orðið of seint.
Take Delacroix to the infirmary, see if those fingers are broken.	Láttu athuga hvort fingurnir á Delacroix eru brotnir.
Of course they are.	Auðvitað eru þeir brotnir.
I heard the bones crack.	Ég heyrði smellinn í beinunum.
You hear what he was yelling when we brought the dummy in?	Heyrðuð þið öskrin í honum þegar hann kom inn með stóra fávitann?
How could I miss it?	Hvernig var annað hægt, Harry?
The whole prison heard.	Allt fangelsið heyrði þau.
Goddamn Percy. You'll have to answer for sending him off the Mile.	Fjandans Percy. þú verður sennilega tekinn á teppið fyrir að vísa honum út.
Damn. He seems meek enough.	Hann virðist nú þægur.
Is he retarded, you figure?	Haldið þið að hann sé vangefinn?
Looks like they sent us an imbecile to execute.	Mér sýnist þeir hafa sent okkur vanvita til aftöku.
Imbecile or not, he deserves to fry for what he done.	Hvort sem hann er það eða ekki á hann skilið að stikna.
Make your blood curdle.	Blóðið frýs í æðunum á manni.
What?!	Hvað?
For God's sake, what?	Í Guðs nafni, hvað?
The girls!	Stelpurnar!
The girls are gone! Papa!	Stelpurnar eru horfnar!
Papa, look! There's blood.	Pabbi, sjáðu! þarna er blóð.
Oh, my God.	Guð minn góður.
Goddamn it, woman! Get on that phone. You tell them we headed west.	Hringdu eins og skot, segðu þeim að við höfum farið í vesturátt!
You mind what I'm saying!	Heyrirðu það!
We headed west!	Við stefnum í vestur!
Central! Are you on the line?	Miðstöð, heyrirðu í mér?
Oh, God, please. Somebody took my little girls.	Guð minn góður, það tók einhver litlu stúlkurnar mínar.
Cora!	Cora!
Jesus. I'll kill you!	Ég skal drepa þig!
I'll kill you!	Ég skal drepa þig!
I couldn't help it.	Ég réð ekkert við það.
I tried to take it back, but it was too late. Boy, you under arrest for murder.	Ég reyndi að taka það aftur en það var of seint. þú ert handtekinn fyrir morð.
I interrupt?	Er ég að trufla?
Well, I'm just about done.	Ég er að verða búinn.
How's your pretty gal?	Hvernig líður fallegu konunni þinni?
Melinda's not so well, Paul.	Melindu líður ekki vel, Paul.
Not so well at all.	Hreint ekki vel.
More headaches?	Fleiri höfuðverkjaköst?
Got laid up with another one yesterday. Worst one yet.	Hún fékk eitt í gær sem lagði hana í rúmið. það versta hingað til.
I'll be taking her over to Vicksburg next day or so for some tests.	Ég ætla með hana til Vicksburg á næstunni í rannsóknir.
Head x-rays and who knows what else.	Röntgenmyndir af höfðinu á henni og hver veit hvað annað.
She is scared to death.	Hún er dauðhrædd.
Truth to tell, so am I. If it's something they can see on the x-ray maybe they can fix it.	Satt best að segja er ég það líka. Ef röntgenmyndin sýnir hvað þetta er er kannski hægt að lækna það.
Maybe. This just came in.	Kannski. þetta var að koma.
DOE on Bitterbuck. You didn't come down here to hand me a DOE.	Aftökudagsetning fyrir Bitterbuck. þú komst ekki alla leiðina hingað til að færa mér þetta.
I had an angry call from the state capitol about 20 minutes ago.	Ég fékk reiðilestur gegnum símann frá höfuðborg fylkisins áðan.
