Bye, Jimmy.	Bless, Jimmy.
Who could compete with a guy like that?	Hver gæti keppt við slíkan mann?
Hands.	Hendurnar.
I'm sorry.	Fyrirgefðu.
Come on, Chloe.	Gerðu það, Chloe.
We've been going out for two years... I want a little action.	Við höfum verið saman í tvö ár.
Mark, I told you- I want to wait till I get married.	Ég sagði þér að ég vil bíða þar til við giftum okkur.
Hands.	Hendurnar.
I tried to warn you, but you wouldn't listen.	Ég reyndi að vara þig við.
All women will leave you someday.	Allar konur fara frá þér einhvern tíma.
That girl didn't love you.	Þessi stúlka elskaði þig ekki.
She just felt sorry for you.	Hún vorkenndi þér.
You think she 'd marry a boy who couldn't even touch her? Hey. Hi.	Heldurðu að hún giftist strák sem gæti ekki snert hana?
Are you going somewhere?	Ætlarðu eitthvað?
You know Mark?	Þekkirðu Mark?
We've sorta been going out off and on for a while now... and, um...	Við höfum verið sundur og saman um skeið. Og... Hann bauð mér...
To go fishing?	Á veiðar?
No!	Nei.
To go to the movies?	Í bíó?
No!	Nei.
To get married?	Að giftast sér?
Yes!	Já!
The wedding's this Saturday in Niagara Falls.	Brúðkaupið er á laugardaginn við Niagara-fossa.
I didn't know how to tell you, Jimmy, because...	Ég vissi ekki hvernig ég átti að segja þér það, Jimmy.
The thing is, um...	Málið er að...
I really wanted to know... if you think he's the right one... because it's such a big step, you know? And...	Ég vil fá að vita hvort þú heldur að hann sé sá eini rétti... af því að þetta er svo stórt skref.
Jimmy?	Jimmy?
I made you something.	Ég bjó til svolítið handa þér.
Take Bubble Guinea Pig.	Taktu plastkúlunaggrísinn.
I don't want him anymore.	Ég vil ekki sjá hann lengur.
So that's it? That's all you're going to say?	Ætlarðu ekki að segja neitt annað?
Good-bye.	Vertu sæl.
God... bless America!	Ég elska þig Guð blessi Bandaríkin.
That nasty little slut... Left just in the nick of time, Morton.	Þessi andstyggilega dræsa slapp með skrekkinn, Morton!
I had no idea what I was up against.	Ég vissi ekki hvað ég átti í höggi við.
Chloe hadn't told me much.	Chloe hafði ekki sagt mér margt.
All I knew was that she was in New York... which may as well been on the other side of the galaxy... and I only had three days to get there.	Ég vissi bara að hún væri í New York... en það hefði alveg eins getað verið á annarri vetrarbraut. Ég hafði þrjá daga til að komast þangað.
Three days.	Þrjá daga.
I just needed the bubble suit to last that long.	Plastbúningurinn þyrfti að endast svo lengi.
Grass.	Gras.
Street lamp. Oh.	Ljósastaur.
Ooh. Dog poop!	Hundaskítur!
This is awesome!	Þetta er ótrúlegt!
I'm running!	Ég hleyp!
Hello? Hi.	Biðstöð Sæll.
It's my first day out in the world.	Þetta er fyrsti dagurinn minn í heiminum.
I 'd like to go to Niagara Falls.	Ég vil fara til Niagara-fossa.
That'll be $ 260.	Farið kostar 260 dali.
Plus I gotta charge you for an additional seat... for that... stupid thing you're wearing.	Þú þarft að borga aukalega fyrir þetta asnalega drasl.
Oh, money.	Peningar.
Oh. Money.	Peningar.
How far will this get me?	Hvað kemst ég langt fyrir þetta?
Take a step back.	Stígðu aftur.
That far.	Svona langt.
