Step aside.	Farið frá.
You'll be killed, little man.	Æ, nei. Nú verður þú drepinn, litli maður.
Where 'd he go?	Hvar er hann?
Yao! You're my hero. Pick a prize, any prize.	Yao, þú ert hetjan mín. Veldu þér verðlaun.
Which one do you want, sir?	Hvern viltu, herra?
Gimme that one.	Þennan.
Okay, how about this one?	Hvað með þennan?
What does Attila say when he walks through the door?	Hvernig fer Atli Húnakonungur inn?
Hun, I'm home.	Tekur í hurðarHúninn.
I give up.	Ég gefst upp.
I guess I'm not as funny as I think.	Ég er ekki eins fyndinn og ég hélt.
What a cute laugh.	Mikið er þetta sætur hlátur.
No. I hate my laugh. What?	Nei, ég hata hláturinn minn.
It's adorable.	Hann er svo sætur.
I thought you didn't have a sense of humour.	Ég hélt að þú hefðir enga kímnigáfu.
No sense of humour?	Enga kímnigáfu?
It's so beautiful.	Þetta er svo fallegt.
Yeah.	Já.
It's the same moon we see from the palace.	Þetta er sama tungl og við sjáum úr höllinni.
No, this one is entirely different.	Nei, þetta er allt öðruvísi.
I know I've never seen anything like it.	Ég hef aldrei séð nokkuð svona fallegt.
I'm listening.	Ég hlusta.
We... that is...	Málið er...
I... all of us...	Ég... og við...
Oh, boy.	Ja hérna.
Fa Mulan, it's love.	Ég og Yao erum ástfangin.
Yao and myself, Chien-Po and Su...	Líka Chien-Po og Su.
And myself and Lingy-Bear.	Og við Lingy-Bangsi.
I mean, Ling.	Ég meina, Ling.
Excuse me.	Afsakið.
Don't worry.	Engar áhyggjur.
I'll handle this.	Ég sé um þetta.
I'm so sorry to break up your little party.	Mér þykir leiðinlegt að skemma gleðina.
This is gonna be good.	Þetta verður ljúft.
Before you jump to conclusions, let me explain.	Leyfðu mér að útskýra þetta áður en þú verður reiður.
Fine.	Allt í lagi.
Why don't we start with this?	Eigum við ekki að byrja á þessu?
That's mine.	Ég gerði þetta.
All yours?	Gerðir þú það ein?
Or did you have help?"	Eða fékkstu hjálp?
And so, my dear father, I cannot complete this mission."	Kæri faðir. Ég get ekki lokið þessu verkefni.
"I have come to realise that my duty is to my heart."	Það er skylda mín að hlusta á hjartað.
Who does that sound like?	Hver segir svona lagað?
Mei never meant to send it.	Mai ætlaði ekki að senda það.
Your Highnesses, you swore a vow to be married in Qui Gong.	Þið sóruð þann eið að giftast í Qui Gong.
If your father saw you now, breaking that vow, what would he say?	Hvað segði faðir ykkar ef hann sæi ykkar svíkja það.
You three are to escort their highnesses back to their tents immediately.	Þið þrír fylgið prinsessunum að tjöldunum eins og skot.
You are to guard them.	Verndið þær.
You are not to enter their tents or speak to them.	Þið megið ekki elta þær inn eða tala við þær.
Not a word.	Ekki eitt orð.
Ever. Am I understood?	Já, herra.
The problem isn't as bad as it seems.	Þetta er ekkert vandamál.
The problem is you.	Þú ert vandamálið.
What?	Hvað segirðu?
You place your feelings above everything.	Þínar tilfinningar þurfa alltaf að vera ofar öllu.
Duty, obligation, tradition, it all means nothing to you.	Skyldur og hefðir skipta þig engu máli.
It means everything to me.	Það skiptir mig mestu máli.
My heart tells me my duty and I follow it.	Hjartað segir mér hver skyldan er og ég hlusta.
You're a brilliant warrior.	Þú ert stórkostlegur stríðsmaður.
You're brave, you're loyal, but you don't trust your heart.	Þú ert hugrakkur og traustur en treystir ekki hjartanu.
Sometimes I wonder if you even have one.	Stundum veit ég ekki hvort þú hafir hjarta.
This assignment has made it clear.	Þetta verkefni hefur sannað það.
We are very different people.	Við erum mjög ólík.
Maybe too different.	Kannski of ólík. Gott og vel.
Fine. We have a mission to complete.	Við verðum að ljúka þessu verkefni.
Fine.	Fínt er.
Isn't it a great day?	Er þetta ekki yndislegur dagur?
I see pretty boy isn't talking to you.	Ég sé að sá sæti talar ekki við þig.
And you're not talking to pretty boy.	Þú talar ekki heldur við hann.
You know, you can always talk to me.	Þú veist að þú getur alltaf talað við mig.
Wait till she realises what I've done for her.	Bíðum þar til hún skilur hvað ég gerði fyrir hana.
Will that frown turn upside down.	Þessi fýlusvipur breýtist þá í bros.
Snapdragon.	Flugdreki?
Just for that, I'm not talking to you.	Bara þess vegna tala ég ekki við þig.
We're so sorry for what we've done.	Við biðjumst afsökunar á því sem við gerðum.
You inspired us to follow our hearts, and we repay you by ruining your relationship.	Þú sagðir okkur að hlýða hjartanu og við launum þér með því að eyðileggja samband ykkar.
This is bandit country.	Þetta eru ræningjaslóðir.
I sure wish we could talk to the princesses.	Ég vildi að við gætum talað við prinsessurnar.
What? You know we can't.	Þú veist að við megum það ekki.
Yes, I also wish we could talk to them.	Já, ég vildi líka að við gætum það.
But as you know, orders is orders.	En við verðum að hlýða öllum skipunum.
Yes, but if I could talk to them, do you know what I would say?	Ef við mættum tala við þær, vitið þið hvað ég myndi þá segja?
No, what would you say if only you could?	Nei, hvað myndir þú segja ef þú mættir gera það?
I 'd tell Ting-Ting that she's the prettiest, funniest, most extraordinary girl I've ever met.	Ég segði Ting-Ting að hún væri sætasta og fyndnasta og merkilegasta stúlka sem ég hef kynnst.
I would tell Princess Su that she is like fresh ginger on the rice bowl of my life.	Ég segði Su að hún væri eins og ferskt engifer í hrísgrjónaskál lífsins míns.
And I would tell Mei that she's one right babe.	Ég segði Mei að hún væri geggjuð gella.
Mulan, what do you say to a little pick-me-up?	Viltu ekki hressa þig örlítið við?
My father said, "Differences can make you stronger."	Pabbi sagði að mismunurinn gæti gert okkur sterkari.
He didn't realise that Shang and I are just too different.	Hann vissi ekki hversu ólík við Shang erum.
Well, you know, you've always got me.	Þú veist að þú átt mig alltaf að.
The old team, right?	Gamla teymið?
You're always looking out for me.	Þú ert alltaf að vernda mig.
Just doing the best I can.	Ég geri mitt besta.
Really, I just don't know what I 'd do without you.	Ég veit ekki hvað ég gæti gert án þín.
You're the best friend I've ever had.	Þú ert besti vinur sem ég hef átt.
I can't stand it no more.	Ég þoli þetta ekki lengur.
The only thing wrong with you and Shang is me.	Það eina sem er að milli þín og Shang...
I'm the one that got between you.	Það var ég sem sundraði ykkur.
What are you talking about?	Hvað ertu að segja?
You didn't make the carriage go into the river.	Ekki lést þú vagninn renna út í ána.
That was an accident, following several attempts at on purpose.	Það var slys, sem kom á eftir nokkrum tilraunum.
It wasn't you outside Shang's tent.	Ekki varst þú fyrir utan tjaldið hans Shang?
You know how I gab.	Þú veist hvað ég get blaðrað mikið.
You woke him up after I left?	Vaktir þú hann eftir að ég fór?
It wasn't easy.	Hann steinsefur.
That man can sleep.	Hvað gerðir þú?
I was banging pots and pans... No.	Ég barði í potta...
What did you do? You was getting married.	Nei, hvað ert þú búinn að gera.
Everything was gonna change.	Þú ætlaðir að gifta þig og þá breýtist allt.
I was gonna lose you. And my pedestal.	Þá glata ég þér og stallinum mínum.
You got between Shang and me so you could keep your job?	Komstu á milli okkar Shang til að halda starfinu þínu?
I'm sorry.	Fyrirgefðu.
What you did was unforgivable.	Það sem þú gerðir er ófyrirgefanlegt.
But you and Shang are so different.	En þú og Shang eruð svo ólík.
Wait a second.	Bíddu hægur.
Not as different as I thought.	Ekki eins ólík og mig grunaði.
All those problems, they weren't us. They were you.	Öll þessi vandamál voru vegna þín en ekki okkar.
I've got to talk to Shang. Tell him I love him.	Ég verð að tala við hann og segja að ég elski hann.
I'll make it up to you. I promise.	Ég lofa að ég skal bæta þér þetta.
Forget it.	Gleymdu því.
You've helped enough.	Þú ert búinn að hjálpa nóg.
Shang!	Shang.
Shang! It's an ambush.	Þetta er fyrirsát.
Bandits.	Ræningjar.
Close ranks.	Verið þétt saman.
Save the princesses.	Verndið prinsessurnar.
You two, get the gold.	Þið takið gullið.
You two, come with me.	Þið komið með mér.
I've got your back.	Ég stend með þér.
Take my hand.	Taktu í höndina á mér.
The princesses.	Prinsessurnar.
How dare you touch me.	Hvernig dirfist þú að snerta mig?
It won't budge.	Ég næ þessu ekki.
Then take the whole package.	Taktu allan pakkann.
Help me.	Hjálp.
Run. Mei!	Hlauptu.
Come on.	Komdu.
Let's get out of here.	Forðum okkur héðan.
Shang, hang on.	Haltu þér fast.
It won't hold us both.	Brúin heldur ekki okkur báðum.
It will.	Mulan.
Mulan.	Fyrirgefðu.
I'm sorry. Please.	Gerðu það...
No matter what it takes, I'm finishing this mission.	Ég klára verkefnið, hvað sem til þarf.
Good horse.	Góður hestur.
What do you mean, they are gone?	Hvað áttu við með að þær séu horfnar?
There was an accident, Lord Chin.	Það varð slys, Chin lávarður.
The royal carriage fell in the river and was destroyed.	Konunglegi vagninn féll í ána og eyðilagðist.
A grave loss.	Það er mikill missir.
But it does not alter my agreement with the emperor.	En það breýtir ekki samkomulaginu við keisarann.
And unless it is honoured, I will sanction no alliance with the Middle Kingdom.	Ef hann uppfyllir ekki samninginn verður ekkert bandalag milli okkar.
A marriage was promised.	Mér var lofað brúðkaupi.
A marriage there will be.	Þú færð brúðkaup.
I would be honoured to wed a prince of Qui Gong.	Það væri mér mikill heiður að giftast prins Qui Gong.
You?	Þú?
My lord, Fa Mulan, the hero of China.	Þetta er Fa Mulan, mesta hetjan í Kína.
A jewel in your crown, far more dear than three mere princesses.	Hún er stór fjöður í hattinn þinn. Mun dýrmætari en prinsessurnar þrjár.
This is not what was agreed.	Þetta er ekki það sem um var samið.
However, the Golden Dragon of Unity smiles upon you today.	Samt sem áður hefur gyllti einingardrekinn ákveðið að brosa til þín í dag.
And in view of the tragedy, I will accept your offer.	Þrátt fyrir þennan mikla harmleik, tek ég tilboði þínu.
You will make a fine bride for my eldest son, Prince Jeeki.	Þú verður góð brúður fyrir elsta son minn. Jeeki prins.
This is her?	Er þetta hún?
She's so old.	Hún er svo gömul.
Mulan said she was gonna finish the mission, no matter what.	Mulan ætlaði að klára verkið, hvað sem það kostaði.
But how can she without us?	Hvernig er það hægt án okkar?
By taking your place.	Hún tekur ykkar stað.
Shang's alive.	Shang er á lífi.
Mulan was right.	Það var rétt hjá Mulan.
No one should marry someone they don't love.	Enginn á að giftast öðrum en þeim sem þeir elska.
I'm going to Qui Gong.	Ég fer til Qui Gong.
We're going too.	Við förum með þér.
No, you're not.	Þið gerið það ekki.
Stay here.	Verið kyrr hérna.
Would you say that was an order?	Var þetta skipun?
I would say it was a friendly suggestion.	Þetta var frekar vinaleg uppástunga.
Looks like we won't be a team after all, Mushu.	Svo virðist sem við verðum aldrei teymi.
Mulan. I would give up a thousand pedestals if I could stop this.	Ég gæfi þúsund stalla til að stöðva þetta.
I doubt even the Golden Dragon of Unity could stop this now.	Ég efast um að gyllti einingardrekinn gæti það.
Good-bye, Mushu.	Bless, Mushu.
My people, the Golden Dragon of Unity, who guides us in all we do, today sanctifies a union that will be a blessing for all of Qui Gong.	Mín kæra þjóð. Gyllti einingardrekinn, sem stjórnar verkum okkar, mun í dag blessa þetta hjónaband sem verður til góðs fyrir alla í Qui Gong.
Of course I want to stop it. But what can one itty bitty dragon do?	Ég vil stöðva þetta en hvað getur lítill dreki gert?
With the tying of this sash, we shall unite not only two lives, but two kingdoms.	Með því að binda þennan borða munum við sameina bæði tvö líf og tvö konungsríki.
It's General Li-Shang.	Li-Shang hershöfðingi.
He's alive. Yeah.	Hann er á lífi.
Shang to the rescue.	Shang til bjargar.
Lucky for Lord Chin, cos I was about to whip his butt.	Chin var heppinn, því ég ætlaði að berja hann.
You're alive.	Þú ert á lífi.
I couldn't let you get married without me.	Ég gat ekki leyft þér að gifta þig án mín. Þetta er hneyksli.
This is outrageous.	Farðu héðan strax.
You will leave at once.	Ég fer hvergi.
What are you doing?	Hvað ertu að gera?
I don't know.	Ég er ekki viss.
I'm winging it. How dare you trample upon this sacred ceremony? Oh, my gosh.	Hvernig dirfist þú að vanvirða heilaga athöfn?
He's gonna lower the hammer on Shang.	Hann ætlar að vera vondur við Shang.
Where's the dang Dragon of Unity when you need him?	Hvar er einingardrekinn þegar þörf er á honum?
Don't bother me now, I...	Ekki angra mig.
I have an idea.	Ég fékk hugmynd.
My lord, I love Mulan.	Ég elska Mulan, herra.
I don't care what the rules say.	Sama hvað reglurnar segja.
If she'll have me, I intend to marry her right here.	Ef hún vill mig mun ég giftast henni hér og nú.
So you best drop your dumpling-eating behind on down and tell me why we ain't busting out the vows.	Svo þú skalt setjast á feitan bossann og segja mér hvers vegna þú giftir þau ekki.
But your greatness, General Li-Shang is not a son of Qui Gong.	En yðar hágöfgi, Li-Shang hershöfðingi er ekki sonur Qui Gong.
Silence!	Þögn.
I am the Golden Dragon of Unity, and I decide whom to unify.	Ég er gyllti einingardrekinn og ég ákveð hverjir ganga í það heilaga.
