Check this.	Sjáðu þetta.
What, are you trying to get me killed here?	Ertu að reyna að láta drepa mig?
So how 'd it go?	Hvernig gekk?
I got a room.	Ég fékk herbergi.
Just haven't unpacked yet.	Hef ekki tekið upp úr töskunum.
I mean, it's a little different from playing with Maxie and the boys, though, that's for sure.	Þetta er sko ekkert líkt því að keppa við Maxie og strákana.
Well, I'll be sure to let them know that.	Ég læt þá aldeilis vita af því.
Hey, you working tomorrow night?	Ertu að vinna annað kvöld?
I just thought maybe if you weren't doing anything...	Ég hélt bara að ef þú værir ekki að...
Not that we 'd be, you know, doing anything official, but...	Við myndum auðvitað ekki kalla það stefnumót, en...
Well, being as you put it that way, sure, yeah.	Ja, fyrst þú segir það svona, því ekki það, já.
Great.	Fínt.
Hey, and thanks for the package, really.	Og takk fyrir sendinguna, í alvöru.
No problem.	Ekkert mál.
All right, I'll call you tomorrow.	Fínt, ég hringi á morgun.
Bye.	Bless.
Take him down!	Tæklaðu hann!
Good job!	Vel gert!
She was right, old man!	Það var rétt hjá henni, gamli!
You ain't going nowhere.	Þú nærð aldrei árangri.
That's right, German!	Rétt hjá þér, German!
Come here!	Komdu!
Hey!	Heyrið mig nú!
Hold on.	Bíðið.
That's enough!	Þetta er nóg.
Break it up.	Hættið að slást.
Come on!	Svona!
Back off!	Hættið þessu!
I said, back off!	Ég sagði, hættið þessu!
A.C., get them over to the sleds.	A.C., farðu með þá á sleðana.
All right, team.	Allt í lagi, lið.
Let's move it.	Af stað.
You heard the man.	Þið heyrðuð í honum.
Philly, huh?	Hví komstu hingað?
I needed a change.	Ég þurfti að breyta til.
A new city seemed like a good start.	Ný borg virtist góð byrjun.
My ex.	Minn fyrrverandi.
Husband?	Eiginmaður?
Boyfriend.	Kærasti.
He wasn't what he said he was.	Hann var ekki sá sem hann sagðist vera.
What 'd he say he was?	Hvað sagðist hann vera?
Single.	Einhleypur.
How about you?	Hvað um þig?
If you don't mind me asking.	Ef ég má spyrja.
Married five years.	Giftur í fimm ár.
Showed up one day, she wasn't there.	Kom heim einn daginn og hún var farin.
Sorry.	Mér þykir það leitt.
No, that's okay.	Það er allt í lagi.
So now you play football.	Og nú spilar þú fótbolta.
Well, I've been playing since I was a kid.	Ég hef gert það síðan ég var strákur.
Nothing big, you know.	Það hefur ekki verið merkilegt.
My mom was the one that got me started.	Mamma hvatti mig til þess.
Your mom?	Mamma þín?
Yeah.	Já.
Yeah, she was a great athlete.	Já, hún var góð í íþróttum.
I mean, she got sick when I was really young.	Hún veiktist þegar ég var mjög ungur.
Had a lot of medical problems.	Hún var mjög léleg til heilsunnar.
What about your dad?	Hvað um pabba þinn?
Well, he worked at the factory.	Hann vann í verksmiðjunni.
I mean, he 'd come home as much as he could, but, you know, he had to pay the bills.	Hann kom eins mikið heim og hann gat en hann varð að borga reikninga.
I think her medical condition really bothered him a lot, though.	Slæm heilsa hennar fékk samt mjög á hann.
We always had the Eagles.	Við höfðum alltaf Eagles-liðið.
You know, he 'd love to tell the story of Steve Van Buren.	Honum fannst gaman að segja söguna af Steve Van Buren.
The '48 Championship Game?	Úrslitin ' 48?
I have five brothers, remember?	Ég á fimm bræður, manstu?
Yeah, I remember now.	Já, ég man það núna.
Anyway, I mean, he 'd talk about Steve Van Buren scoring the only touchdown against the Chicago Cardinals, which won them the Championship.	Hann sagði frá því þegar Steve Van Buren skoraði eina snertimarkið á móti Chicago Cardinals, og það færði þeim meistaratitilinn.
7-0.	7-0.
How do you know all of that?	Hvernig veistu þetta allt?
First cut's always the deepest.	Fyrsti niðurskurðurinn er alltaf verstur.
Coach wants to see you.	Þjálfarinn vill tala við ykkur.
Bring your playbook.	Hafið leikkerfabækurnar ykkar með.
Coach wants to see you.	Þjálfarinn vill tala við þig.
Bring your playbook.	Hafðu leikkerfabókina þína með.
Coach wants to see you. Bring your playbook.	Þjálfarinn vill tala við þig.
And now over to Wade Chambers and sports.	Og nú yfir til Wade Chambers og íþróttafrétta.
Well, the biggest news today from Eagles training camp is that Philly's own Vince Papale has made it past the first round of cuts.	Stærsta frétt dagsins úr Eagles-æfingabúðunum er að heimamaðurinn, Vince Papale, slapp við fyrsta niðurskurð.
The part-time bartender remains a long shot to make the team, but the mere fact that he's still around, well, that's amazing in itself.	Enn er ólíklegt að barþjónninn komist í liðið, en að hann sé enn á staðnum er ótrúlegt á sinn hátt.
Attaboy, Vince.	Það var laglegt, Vince.
Vermeil's coaching staff seems to be focusing on defence this year.	Þjálfarar Vermeils virðast einbeita sér að vörninni.
Welcome to special teams, gentlemen.	Velkomnir í sérliðin, herramenn.
The only way that many of you will make this roster is by proving yourself right here.	Eina leiðin til að komast í þetta lið er að sanna ykkur hér á staðnum.
To be successful, you must throw away all fear.	Til að ná árangri þurfið þið að kasta frá ykkur öllum ótta.
Speed and agility are critical, but desire and determination are even more important.	Hraði og lipurð skipta miklu máli, en löngun og einbeitni eru jafnvel enn mikilvægari.
Ready.	Tilbúnir.
Next!	Næstu!
Keep them on the 20.	Haldið þeim innan við 20 stikur.
There you go, Sampson!	Það var lagið, Sampson!
That's what we're looking for out here!	Þetta viljum við sjá hérna!
Cream's coming to the top now, Pops.	Nú eru topparnir að taka yfir, pápi.
Give me some.	Komdu með spaðann.
Oh, yeah.	Ó, já.
What you doing in here?	Hvað ertu að gera hér?
How am I supposed to run in all this stuff?	Hvernig get ég hlaupið með þetta?
That stuff protects you.	Þetta ver þig.
It's there for a reason.	Það er ástæðan.
You can't wear quarterback pads.	Þú getur ekki notað sóknarpúða.
You won't last a week wearing those.	Þú endist ekki í viku með þá.
Nothing personal, but is it really gonna matter?	Ekki móðgast, en skiptir það máli?
Come on.	Áfram.
You can do it!	Þið getið þetta!
Cures everything, yeah?	Læknar allt, ekki satt?
Tommy been in yet?	Hefur Tommy komið?
Not so far.	Ekki enn.
Anybody take you to Colombo's yet?	Hefur einhver boðið þér á Colombo ' s?
The best cheese steak in Philly.	Besta nauta - og ostsamloka í borginni.
Anybody asking?	Ertu að bjóða mér?
Well, if Maxie don't have you working Friday.	Ef að Maxie lætur þig ekki vinna á föstudaginn.
Long as 9: 00 gets you back for your curfew.	Ég get mætt klukkan 9: 00 ef það nægir fyrir útgöngubannið.
Hey, Rick, can you make me up a grilled cheese?	Rick, getur þú útbúið handa mér ostasamloku?
Make it with fries.	Með frönskum.
Oh, yeah.	Ó, já.
You're jumping back pretty fast, huh, buddy boy?	Þú ert ansi fljótur að jafna þig, félagi.
You really think a nice-looking girl from New York's gonna come back, start over with one of us?	Heldurðu virkilega að lagleg stúlka frá New York komi hingað og hefji nýtt líf með einum okkar?
Just 'cause everybody's cheering for you trying to be an Eagle?	Bara af því að allir fagna því að þú reynir að vera Eagles-leikmaður?
We're just talking here.	Við erum bara að tala saman.
What's your problem, Johnny?	Hvað er að því, Johnny?
You'll still be nothing, man.	Þú verður alltaf mannleysa.
When all this is over and done, nothing.	Þegar þessu öllu er lokið, mannleysa.
Just like the rest of us.	Eins og við hinir.
Hey, Rick, can I get some more fries?	Rick, get ég fengið meiri franskar?
