No, a different one.	Ég á við aðra.
A person.	Manneskju.
God, she's scary.	Hún er brjáluð.
You don't think that Liv- -? - l do.	Heldurðu ekki að Liv...? Jú.
She knew how much that meant to me. - lt's too cruel. lt's too mean-spirited.	Hún vissi hvað það var dýrmætt. Það væri of mikil illgirni.
Too in character?	Of líkt henni?
Hang on, wait.	Bíddu hæg.
Didn't you tell me she's wearing a Vera Wang?	Sagðirðu ekki að hún ætlaði að vera í kjól frá Veru Wang?
Yes.	Jú.
I read those run really tight, and she's kind of an ex-heifer. No.	Þeir eru víst mjög þröngir og hún er fyrrverandi bolla.
No, she's- She's- Little bit.	Nei, hún er... svolítið.
Let's keep to our own work, shall we?	Höldum okkur við okkar vinnu.
Oh, my God.	Ó, Guð.
That was a dig at me. Emma thinks I'm showing off?	Þetta var sneið til mín. Emmu finnst ég vera að monta mig.
She likes Emma best.	Henni líkar betur við Emmu.
Emma always gets the sympathy vote.	Emma fær alltaf samúð.
I never get the sympathy vote, do I?	Ég fæ aldrei samúð, er það?
Maybe it's asking a bit too much of people.	Það er kannski til of mikils ætlast.
I was worried about her cake. It could be two Ding Dongs and a Yodel for all I care.	Ég hugsaði um hennar tertu en hún má hafa kleinur og snúða fyrir mér.
What's that?	Hvað er þetta?
What's that?	Ekki gera þetta.
Sort of like a burnt canary?	Eins og brenndur kanarí?
Video montage of their lives? Really?	Mynd um ævi þeirra?
That's gotta be Fletcher's idea.	Það hefur Fletcher dottið í hug.
It's gonna be like pictures of them as babies.	Það verða barnamyndir af þeim.
Emma with one tooth and Fletcher in his little superhero outfits. lt's tacky. [ knocking ] Can I help you?	Emma með eina tönn og hann í ofurhetjubúningi. Púkalegt! Get ég aðstoðað þig?
Yeah, delivery for Liv Lerner.	Það er sending fyrir Liv Lerner.
That's chocolate. I'll take that.	Þetta er súkkulaði.
That looks good."	Ég tek við því.
Liv, you deserve this and more."	Þetta lítur vel út., Þú átt þetta skilið og meira til."
Tell me more.	Segðu mér meira.
Dance class?	Danstímar?
Come on, we know how to dance.	En við kunnum að dansa.
It's a slow dance.	Þetta er rólegur dans.
It's like we did in college.	Við dönsuðum þannig í skólanum.
It's a waltz. lt's a little more precise than just holding each other up.	Það er vals. Hann er nákvæmari en að halda hvort öðru uppi.
Besides, Marion says that our first dance introduces our couple style to the world.	Og Marion segir að fyrsti dansinn sýni stíl okkar sem hjóna.
Well, naturally, I'm incredibly concerned with our couple style.	Auðvitað vil ég endilega sýna stíl okkar sem hjóna.
I am Ricky Coo, the Doctor of Dance.	Ég er Ricky Coo dansdoktor.
I bring you motion. I bring you rhythm.	Ég kenni ykkar hreyfingar, takt.
I bring you sex.	Ég kenni kynlíf!
Please, get on your feet and let's dance!	Rísið á fætur, nú dönsum við!
Maybe Marion shouldn't be recommending...... Ricky Coo, Doctor of Dance so much.	Marion ætti ekki að mæla svo mikið með Ricky Coo.
Yeah, I don't know about Ricky.	Já, ég veit ekki hvað skal segja um hann.
MAN: Good for you, doing warm-ups.	Gott hjá ykkur, hita upp.
Yeah. I got your voicemail saying you wanted to push the lesson from 1 to 4.	Ég fékk skilaboðin um að þið vilduð færa tímann til klukkan fjögur.
How long have you been here?	Hvað hafið þið verið lengi hérna?
Oh, my God.	Guð minn góður.
What?	Hvað?
Just give us a second.	Við komum rétt bráðum.
FLETCHER: I mean, who does that?	Hver gerir slíkt?
You know who I feel sorry for is Daniel.	Ég vorkenni Daniel.
He's not even gonna be able to control his own wife.	Hann mun ekki geta haft stjórn á konunni sinni.
What?	Hvað þá?
No.	Nei.
I'm saying, it's Liv.	Ég átti við Liv.
She never thinks- - And? - l'm going inside.	Af því hún hugsar aldrei um... Ég fer inn.
For me?	Handa mér?
Jolly Walrus cookie bouquet. is Daniel a keeper, or what?	Smákökuvöndur. Er Daniel ekki yndislegur?
Just be careful.	Passaðu þig.
Miss Wang is a stern mistress.	Fröken Wang er harðstjóri.
Mr. Simmons called again asking for the update on the agreement."	Simmons hringdi og spurði um fréttir af samningnum.
Rutherford Press "? - l'm just gonna take this. liv: That's my hometown.	Rutherford-blaðið? Ég tek þetta. Það er heimabærinn minn.
Suppose l should tell them you're dealing with a crisis? Oh, my God.	Á ég að segja að þú sért að fást við erfitt ástand?
They still print engagement announcements.	Birta þeir ennþá trúlofunarfréttir?
Emma looks gorgeous.	Emma er glæsileg.
But not on the inside, which is- - Kevin.	En sama er ekki að segja um innrætið, hún... Kevin.
It's the best she can do, huh?	Er þetta hennar besta bragð?
So lame.	Ömurlegt.
She wants to play dirty?	Vill hún beita lúalegum brögðum?
I can play dirty.	Ég get það.
You can play dirty.	Já.
I've seen you do it. - l went to law school, people.	Ég hef séð það. Ég stundaði laganám.
I'm starting to think that 30 is the cutoff. Because it is the last time that men want to date women their age.	Ég er farin að halda að mörkin séu um þrítugt því eftir það vilja karlmenn ekki vera með konum á sínum aldri.
A 30-year-old guy will date a 30-year-old girl.	Þrítugur maður vill vera með þrítugri konu.
But a 35-year-old guy wants someone 30.	En 35 ára gamall maður vill þrítuga konu.
And a 40-year-old guy wants someone 30 too.	Og fertugur maður vill líka þrítuga konu.
Or 28. - lt's a terrible planet. - l know.	Eða 28 ára. Þetta er skelfileg pláneta. Já.
You know what I was wondering?	Veistu hvað ég var að hugsa?
What are the reasons...... behind Emma and Fletcher having to tie the knot?	Hver er ástæðan fyrir að Emma og Fletcher þurfa að gifta sig?
Why not change their date?	Af hverju geta þau ekki breytt deginum?
Think about it.	Hugsaðu málið.
She's pregnant.	Hún er ófrísk.
Emma's pregnant. liv: Oh, no.	Ó, nei.
Oh, no!	Ó, nei.
Are you all right?	Er allt í lagi?
What the hell is going on?	Hvað gengur á?
Liv, let me in.	Hleyptu mér inn?
I gained five pounds. Five pounds.	Ég hef þyngst um rúmlega tvö kíló.
It might as well be 50.	Þau gætu eins verið 50.
The dress doesn't fit. If the dress doesn't fit, my wedding's gonna be a big black hole...... in the history of The Plaza. daniel: Well, A, it's our wedding, hon.	Kjóllinn passar ekki og ef það gerist verður brúðkaupið mitt svartur blettur á sögu Plaza. Þetta er nú brúðkaupið okkar.
And B, so what?	Og hvað með það?
What can I do to make you feel better?	Hvað get ég gert til að þér líði betur?
It's what you can stop doing.	Þú getur hætt.
This is all your fault.	Þetta er allt þér að kenna.
It's sweet of you to send me those treats but l- What treats?	Það er sætt af þér að senda mér allt sælgætið en ég...
Honey, I didn't send you any of that.	Ég sendi ekkert af þessu.
Oh, my God!	Guð minn góður!
Emma.	Emma!
She's trying to make me fat so I can't fit into my dress.	Hún er að fita mig svo ég passi ekki í kjólinn.
What is that?	Hvað er það?
The International Butter Club?	Alþjóðlegi smjörklúbburinn?
