No more murders!	Ekki fleiri morð!
Shh! Because our society has rules.	Því í samfélagi okkar ríkja reglur.
And one of those rules is... you can't kill someone and take their skin!	Og ein reglan er sú að það má ekki drepa mann og taka af honum húðina!
That's not cool.	Það gengur ekki.
So, with that in mind, I am forming a neighborhood watch.	Með það í huga ætla ég að stofna nágrannavakt.
A task force of concerned citizens to solve the murder of Antonio Guzman.	Lið áhyggjufullra bæjarbúa til að finna þann sem myrti Antonio Guzman.
To keep an eye on any and all suspicious activities... and generally... get to the bottom of things.	Til að hafa auga með öllum grunsamlegum athöfnum og að komast til botns í málum almennt.
Thank you.	Takk fyrir.
Solid turnout.	Góð mæting.
Thanks everybody for coming.	Þakka ykkur öllum fyrir að koma.
You're that guy from Costco, right?	Ert þú ekki maðurinn frá Costco?
Yes.	Jú.
I am that guy. Okay.	Ég er hann.
All right. You want to...?	Viljið þið...?
Oh. One more concerned citizen.	Enn einn áhyggjufullur bæjarbúi.
Do you mind if I look around the place a little bit?	Má ég skoða mig aðeins um?
Looks like you have a lot of knickknacks.	Þú virðist eiga mikið af smádóti.
Hi. Neighborhood watch meeting is...?	Er fundur nágrannavaktarinnar...
Yes.	Já.
Really?	Virkilega?
Yeah.	Já.
Great.	Gott.
I'm Evan.	Ég heiti Evan.
I'm Jamarcus.	Jamarcus.
Great to meet you.	Gaman að kynnast þér. Sömuleiðis.
Good to meet you.	Gott.
Great, that's great. I was hoping another person would come... and you're the best type of person it could be.	Ég var að vona að fleiri mættu og þú ert besta manngerðin sem við gætum fengið.
Actually, I couldn't have even hoped for someone like you.	Ég gat ekki einu sinni vonast eftir manni eins og þér.
I'm so pleased to have this effect this early.	Það gleður mig að hafa strax þessi áhrif.
Terrific, this is exciting.	Frábært, þetta er spennandi.
Come on in.	Komdu inn.
I'm excited, too.	Ég er líka spenntur.
Great.	Gott.
Most people are disappointed when they meet me which is so...	Flestir verða fyrir vonbrigðum þegar þeir hitta mig sem er...
British?	Breskur?
I am, and you're American.	Já og þú ert bandarískur.
Yeah.	Já.
This looks like it's from Thailand or something.	Þetta lítur út fyrir að vera frá Tælandi.
I don't know what it is.	Ég veit ekki hvað það er.
Beautiful.	Það er fallegt.
Oh, my God!	Almáttugur!
There's another doll in here.	Hér er önnur dúkka.
Hi, look at this.	Sjáðu þetta.
There's a doll in here.	Það er dúkka hérna inni.
Man, look at this thing.	Að sjá þetta.
Oh, my God, there's another one.	Hér er ein enn.
Look at this.	Að sjá þetta.
Did you know that?	Vissirðu það?
Yeah.	Já.
It's a Russian nesting doll.	Þetta er rússnesk dúkka.
Do you want to have a seat?	Viltu fá þér sæti?
That's incredible.	Ótrúlegt.
Look at that little doll.	Sjá þessa litlu dúkku.
Oh, my goodness, look at that.	Hjálpi mér, sjáðu þetta.
It keeps going.	Það er ekki búið.
