Good girl.	Svona, já.
Here we are. Good girl.	Dugleg stelpa.
She looks well.	Hún virðist hafa náð sér.
No, not yet.	Nei, ekki ennþá.
She is taking the charcoal, though.	En hún tekur við viðarkolunum.
Very nice.	Glæsilegt.
Aliyah.	Aliyah.
I had one just like her.	Ég átti eina svona.
Did you now?	Er það?
Yes. So you do know something about horses.	Svo þú ert virkilega kunnugur hestum.
Thank you, Judah Ben-Hur.	Þakka þér fyrir, Júda Ben Húr.
They're harnessed wrong.	Uppstillingin er röng.
Aliyah should be here.	Aliyah ætti að vera hérna.
Kadeem?	Kadeem?
Mind your business. Listen to me.	Skiptu þér ekki af þessu.
If you take them into a gallop...	Ef þið farið á stökk...
They're going to bolt.	Hann missir stjórn á þeim.
The horses!	Hestarnir.
Get the horses!	Náið hestunum.
Stop those horses!	Stöðvið hestana.
Hold it! Ilderim, be careful.	Gættu þín, llderim.
Get out of the way!	Farðu frá.
Kadeem!	Kadeem.
Aliyah!	Aliyah.
Stop!	Stans.
Stop! Stop her!	Stöðvið hana.
Aliyah!	Aliyah.
Judah, no!	Nei, Júda.
No, Judah!	Nei, Júda.
Hang on! Aliyah.	Haltu fast.
Here, take the reins.	Taktu við taumnum.
Is she hurt?	Er hún meidd?
It's all right.	Þetta er allt í lagi.
You're fine.	Þú jafnar þig.
Easy, girl.	Róleg.
Easy, girl. How did you know?	Hvernig vissirðu þetta?
I told him Aliyah should be on the inside.	Ég sagði að Aliyah ætti að vera að innanverðu.
She hasn't run in a while. She couldn't keep the pace.	Hún hefur ekki hlaupið lengi og gat ekki haldið í við hina.
When she broke stride, she incited the others.	Þegar hún steig úr takti truflaði hún hina.
Kadeem. How's he?	Hvernig líður honum?
Not good.	Ekki nógu vel.
How is it you weren't put directly to the sword?	Því varstu ekki tekinn strax af lífi?
I was born to station.	Ég var ættgöfugur.
A rich Jew sentenced to a slow death.	Ríkur gyðingur dæmdur til hægfara dauða.
I imagine there were many in Rome who found that very entertaining.	Mörgum í Róm hefur fundist það afar skemmtilegt.
Was there ever a kind more obsessed with the obscene?	Hefur einhver þjóð verið helteknari af smekkleysinu?
People starve, the masses are enslaved, and Caesar answers with, less bread and more circuses.	Fólkið sveltur og er hneppt í þrældóm en Sesar svarar með minna brauði og fleiri leikjum.
But I can't complain.	En ég kvarta ekki.
Their excessive nature lines my purses.	Ég hagnast vel á óhófi þeirra.
Is that why you're going to Jerusalem?	Ferðu þess vegna til Jerúsalem?
